"pid","s1"
1,282227.770563508
2,333232.957034285
3,174454.481939385
4,127632.496544439
5,355748.770636013
6,80272.5742033484
7,209958.661601499
8,516225.346225195
9,238192.102367671
10,445619.566087454
11,25072.696305186
12,375738.327464297
13,107008.99963797
14,162987.755388335
15,415666.557668463
16,107806.634305176
17,113677.291620599
18,301678.625188492
19,231682.915849481
20,191070.634938819
21,401638.144203161
22,122878.559652956
23,212101.652402098
24,470348.816545735
25,504988.114806523
26,141326.967196428
27,161974.65623288
28,637412.663221477
29,57357.7747285624
30,76841.0921042774
31,152057.180392707
32,222367.414245079
33,413891.691669747
34,180440.819819794
35,114131.021245848
36,577811.474741606
37,123018.097786467
38,337155.937840443
39,509646.107994256
40,215853.424314421
41,319172.778945164
42,329122.024678889
43,294334.896579182
44,367991.99038585
45,98840.6865475199
46,457751.397403011
47,656160.30461981
48,240328.466428468
49,714482.5868946
50,382850.473336804
51,94732.4606834066
52,337708.318290824
53,89144.9479863437
54,235394.261253006
55,46120.0570214259
56,262911.372511434
57,471432.664430305
58,205378.731632701
59,151801.966102621
60,423034.375207296
61,95189.6537427366
62,123786.896920483
63,417455.088256987
64,83638.8883365356
65,292162.467507863
66,289476.089969411
67,297516.879094713
68,720292.44291985
69,314154.507188497
70,212755.800535545
71,158891.137717713
72,271498.281425714
73,162184.073056812
74,100227.0190765
75,454689.208594764
76,193834.813065982
77,254080.616368445
78,266369.26912135
79,172767.894422386
80,737344.17873546
81,170708.270790423
82,343992.710729706
83,282336.748402542
84,128835.223203797
85,183247.674609611
86,65708.4313376429
87,273888.071915353
88,161170.806279133
89,315457.22187053
90,285940.724291791
91,175789.475584241
92,422766.957059738
93,202796.575107677
94,168600.185746945
95,439613.046698257
96,175720.784865519
97,194682.826015033
98,176022.378571041
99,513508.930197145
100,266606.766379385
101,201081.489745303
102,334006.987613456
103,177982.825669516
104,267488.988311576
105,512067.493569713
106,460836.092932484
107,343605.962501308
108,228258.739230649
109,568922.284528878
110,64883.7496889827
111,276686.630056681
112,390123.986752096
113,569142.38057696
114,673857.794526248
115,177486.233887861
116,454488.946522666
117,215458.752200221
118,407930.803775314
119,367782.726487711
120,251351.36598684
121,303535.594404688
122,149958.269419576
123,185444.76208993
124,104056.468744885
125,315505.191927286
126,557285.178103795
127,517268.043950386
128,274973.587374697
129,121804.806513452
130,228234.088861803
131,202511.423567642
132,60066.7060568618
133,225187.289973318
134,200157.048275998
135,97254.6073456192
136,332185.158119885
137,160697.706197426
138,66242.9434050665
139,227629.005227628
140,92319.3371753475
141,166231.838542424
142,458412.33135639
143,294523.146172281
144,126259.729781601
145,334766.496455582
146,277789.630046153
147,158089.537869946
148,232174.965184026
149,169408.328173073
150,153368.110891013
151,343958.200198963
152,114095.545225631
153,191762.552392822
154,233575.745959326
155,332458.487901868
156,179075.655478932
157,410058.238369937
158,234477.09962738
159,175543.795946813
160,434631.843130577
161,562959.308284058
162,138694.669674524
163,124924.115588373
164,246489.749460724
165,257536.891289887
166,438155.804616813
167,144927.903653306
168,298186.830074254
169,233458.164835722
170,188315.092369397
171,145029.03689472
172,454458.730189783
173,76154.5551162392
174,427726.538795029
175,522976.808184557
176,182743.878495361
177,218640.047132391
178,299353.007893749
179,99297.1146044875
180,178979.694738001
181,495560.279054708
182,112070.547553299
183,230815.725369316
184,247042.516154566
185,398409.872225823
186,241023.001272897
187,224654.084808553
188,206347.393285098
189,271722.271824489
190,678499.074399994
191,437512.939775989
192,403145.131682399
193,605592.13344124
194,157666.732541128
195,222522.656207393
196,77396.0995291347
197,140569.069144418
198,431434.255198366
199,387135.797204452
200,183924.811583263
201,297118.11954015
202,255662.824277672
203,353503.120528346
204,378435.922564225
205,99382.408807096
206,187977.062337478
207,494148.983510361
208,150059.885882906
209,105189.840773303
210,209799.552889433
211,188164.746719447
212,222368.231734875
213,362063.181148084
214,131234.61372483
215,499670.748982425
216,628832.056244566
217,212150.527683549
218,305120.115216668
219,352189.493611693
220,271021.380677345
221,298811.32710223
222,327159.717708243
223,256306.554007131
224,594862.68297187
225,263654.064393501
226,121985.578369576
227,523245.074827682
228,448123.776995181
229,585070.029253621
230,396959.213130798
231,576130.656881242
232,439970.102625589
233,215208.150308038
234,176030.922236871
235,270353.307098936
236,90522.456641416
237,340277.962071314
238,213653.427681553
239,608886.07049742
240,156756.358861287
241,421514.997191997
242,484304.106505315
243,483944.411327163
244,225380.452727948
245,91578.9768963344
246,200797.880569194
247,312907.578371335
248,212154.601735452
249,286017.153896313
250,128305.468291988
251,514245.118919321
252,373589.407348846
253,97579.4522976651
254,654340.534706879
255,436791.516549924
256,186493.127566151
257,618413.867741521
258,116229.069919066
259,269418.841788268
260,117946.633758128
261,77958.5218486682
262,713391.677554749
263,77295.4625580755
264,66634.7672175013
265,254316.349639697
266,305964.46730686
267,329822.056524866
268,231616.8621062
269,104433.923343277
270,317293.500759159
271,230690.395079995
272,299198.73615177
273,369634.621576907
274,396090.30306371
275,359606.265561257
276,275818.465884829
277,470335.923249049
278,308093.455931605
279,286762.585560304
280,185444.01047882
281,86849.8886759588
282,519506.701658738
283,307131.902953717
284,419030.411786227
285,395068.376474668
286,406926.118670825
287,298901.572288725
288,291256.411378851
289,184376.774794675
290,524365.16194564
291,267387.738041598
292,277031.88370861
293,330096.728226084
294,195675.123993029
295,204618.228129393
296,324875.057409197
297,125301.767318139
298,633652.950493411
299,214471.372001522
300,105430.122611293
301,252560.648607868
302,226457.994694792
303,256451.997393601
304,256754.518444655
305,535379.169873902
306,376227.095293275
307,274782.953370574
308,177436.510009797
309,799756.170043129
310,483334.568790427
311,398017.699618357
312,262404.780195936
313,260172.120431139
314,466588.233059738
315,219809.743946888
316,226383.589764011
317,209706.800685663
318,66007.2079111194
319,541787.233199129
320,120234.581767482
321,157794.670760757
322,309123.185809302
323,253360.95139503
324,303354.182309451
325,465599.331645297
326,160434.291117649
327,322045.085999313
328,93198.3712564033
329,546452.898850732
330,456493.85064202
331,319982.712210893
332,431914.892150454
333,281094.745992355
334,294595.07729206
335,646831.566682587
336,299538.907114072
337,148767.015173262
338,492403.016523921
339,160022.471617198
340,202446.339086083
341,179069.896908981
342,304965.062124436
343,283254.617659557
344,429902.91596259
345,387710.494364739
346,835527.223382008
347,305251.332466521
348,569208.908243223
349,220349.089023744
350,364635.089230933
351,411653.101390212
352,475343.645685821
353,73310.6293605618
354,30486.9179952077
355,355000.730062329
356,51422.9231153613
357,139467.350809767
358,483553.236433744
359,220638.046146904
360,-15787.1812736261
361,259016.367646596
362,470408.160350405
363,352793.843782215
364,106869.075784578
365,763247.186520576
366,182480.714375823
367,180815.056364677
368,270624.465753781
369,210644.152981844
370,583599.26415222
371,337958.113714506
372,173086.922818747
373,464653.113220293
374,304577.502982288
375,165238.480144658
376,245342.831590065
377,229047.120661036
378,319893.504749078
379,439366.847868196
380,141874.471573156
381,644766.321163804
382,284673.161113015
383,560165.777257118
384,255212.190026811
385,286322.034801446
386,184648.462335451
387,168174.638520076
388,550339.3129953
389,159402.473755182
390,332434.06981864
391,258600.732615836
392,362026.639721214
393,56991.9019716023
394,166278.831944194
395,210465.246780174
396,465402.704696162
397,451032.838168912
398,410960.137085647
399,313572.198987641
400,191437.476945143
401,222867.591851306
402,181268.216389992
403,293183.253703503
404,226091.023393548
405,220135.243756838
406,199317.91540178
407,272693.146965648
408,150721.003102022
409,383064.094720513
410,238817.798001532
411,385879.829574266
412,175619.842003867
413,620154.937851662
414,232827.750245818
415,321040.615334222
416,523891.392823799
417,279998.209544127
418,275388.175019653
419,160946.641990331
420,173314.995485216
421,422238.724283806
422,665034.472708372
